PanID,Site,Date_collected,Volume_Filtered_ml,Pan_g,Pan + Filter (g),Pan + Dried (g),Pan+Ash (g),Ash_wt_g,VSS_gL,VSS_mgL,POC_mgL,DI + Dried (g),,,,,,,,,
20,KNAGGS,2019-03-27,250,1.3115,1.4222,1.4434,1.4406,0.0028,0.0112,11.2,5.6,1.4403,,,,,,,,,
16,KNAGGS,2019-03-27,250,1.3055,1.475,1.4428,1.4398,0.003,0.012,12,6,1.4396,,,,,,,,,
29,COS-TRI,2019-04-02,1000,1.3036,1.4146,1.4186,1.4178,0.0008,0.0008,0.8,0.4,,,,,,,,,,
37,COS-TRI,2019-04-02,1000,1.2925,1.4031,1.4085,1.4074,0.0011,0.0011,1.1,0.55,,,,,,,,,,
1,COS-TRI,2019-04-02,1000,1.3042,1.4156,1.4194,1.4182,0.0012,0.0012,1.2,0.6,,,,,,,,,,
7,KNAGGS,2019-04-02,250,1.2775,1.3897,1.4475,1.4415,0.006,0.024,24,12,1.4414,,,,,,,,,
8,KNAGGS,2019-04-02,250,1.2947,1.4074,1.4719,1.4652,0.0067,0.0268,26.8,13.4,1.4652,,,,,,,,,
9,KNAGGS,2019-04-02,250,1.2896,1.4009,1.4635,1.4571,0.0064,0.0256,25.6,12.8,1.457,,,,,,,,,
14,COS-TRI,2019-04-03,1000,1.3078,1.4196,1.428,1.4266,0.0014,0.0014,1.4,0.7,,,,,,,,,,
15,COS-TRI,2019-04-03,1000,1.3006,1.4114,1.4217,1.418,0.0037,0.0037,3.7,1.85,,,,,,,,,,
17,COS-TRI,2019-04-03,1000,1.2988,1.4106,1.4202,1.4187,0.0015,0.0015,1.5,0.75,,,,,,,,,,
18,BABYMARSH,2019-04-04,750,1.3,1.4131,1.4243,1.422,0.0023,0.003066667,3.066666667,1.533333333,,,,,,,,,,
19,BABYMARSH,2019-04-04,750,1.3016,1.4135,1.4257,1.4231,0.0026,0.003466667,3.466666667,1.733333333,,,,,,,,,,
24,BABYMARSH,2019-04-04,700,1.2951,1.4076,1.4181,1.4158,0.0023,0.003285714,3.285714286,1.642857143,,,,,,,,,,
23,COS-BEACH,2019-04-03,1000,1.3077,1.4203,1.4227,1.4219,0.0008,0.0008,0.8,0.4,,,,,,,,,,
2,COS-BEACH,2019-04-03,1000,1.2754,1.3861,1.3888,1.3877,0.0011,0.0011,1.1,0.55,,,,,,,,,,
4,COS-BEACH,2019-04-03,1000,1.3099,1.4212,1.4238,1.423,0.0008,0.0008,0.8,0.4,,,,,,,,,,
31,MOK-US-RR,2019-04-03,1000,1.3047,1.4156,1.423,1.4221,0.0009,0.0009,0.9,0.45,,,,,,,,,,
33,MOK-US-RR,2019-04-03,1000,1.2856,1.3966,1.404,1.4029,0.0011,0.0011,1.1,0.55,,,,,,,,,,
34,MOK-US-RR,2019-04-03,1000,1.3087,1.4189,1.427,1.4259,0.0011,0.0011,1.1,0.55,,,,,,,,,,
11,WENDELLS,2019-04-03,1000,1.3136,1.4258,1.4477,1.4455,0.0022,0.0022,2.2,1.1,,,,,,,,,,
10,WENDELLS,2019-04-03,1000,1.3182,1.4015,1.4258,1.4234,0.0024,0.0024,2.4,1.2,,,,,,,,,,
12,WENDELLS,2019-04-03,1000,1.3035,1.4153,1.4387,1.4364,0.0023,0.0023,2.3,1.15,,,,,,,,,,
3,XSSAC,2019-04-08,1000,1.2881,1.3995,1.4183,1.4165,0.0018,0.0018,1.8,0.9,,,,,,,,,,
30,XSSAC,2019-04-08,1000,1.3071,1.4202,1.4406,1.4387,0.0019,0.0019,1.9,0.95,,,,,,,,,,
32,XSSAC,2019-04-08,1000,1.2812,1.3932,1.413,1.411,0.002,0.002,2,1,,,,,,,,,,
15,BABYMARSH,2019-04-09,1000,1.3005,1.4114,1.4246,1.4224,0.0022,0.0022,2.2,1.1,,,,,,,,,,
17,BABYMARSH,2019-04-09,1000,1.2988,1.4108,1.4233,1.4211,0.0022,0.0022,2.2,1.1,,,,,,,,,,
18,BABYMARSH,2019-04-09,1000,1.2998,1.4109,1.4233,1.4211,0.0022,0.0022,2.2,1.1,,,,,,,,,,
22,COS-TRI,2019-04-10,1000,1.3139,1.426,1.4331,1.4321,0.001,0.001,1,0.5,,,,,,,,,,
24,COS-TRI,2019-04-10,1000,1.2952,1.4071,1.4141,1.4131,0.001,0.001,1,0.5,,,,,,,,,,
25,COS-TRI,2019-04-10,1000,1.3007,1.4129,1.4194,1.4185,0.0009,0.0009,0.9,0.45,,,,,,,,,,
35,WENDELLS,2019-04-10,1000,1.3105,1.4229,1.4379,1.4363,0.0016,0.0016,1.6,0.8,,,,,,,,,,
